#Phi Flux
8.419468307179587 2.87937e-05
8.482300307179585 2.985335e-05
8.545132307179585 3.100604e-05
8.607964307179586 3.184254e-05
8.670795307179587 3.290233e-05
8.733627307179585 3.388755e-05
8.796459307179585 3.470578e-05
8.859291307179586 3.559804e-05
8.922123307179586 3.63606e-05
8.984955307179586 3.717862e-05
9.047787307179586 3.784835e-05
9.110618307179585 3.836856e-05
9.173450307179586 3.877808e-05
9.236282307179586 3.937291e-05
9.299114307179586 3.968944e-05
9.361946307179586 3.972669e-05
9.424778307179587 4.037761e-05
