#Phi Flux
7.099999407179586 7.940395e-05
7.162831207179586 7.860503e-05
7.225663107179586 7.754478e-05
7.288495307179586 7.667045e-05
7.351327307179586 7.559237e-05
7.414158307179586 7.47929e-05
7.4769903071795865 7.347267e-05
7.539822307179586 7.228256e-05
7.602654307179586 7.059136e-05
7.665486307179586 6.953139e-05
7.7283183071795865 6.795142e-05
7.7911493071795865 6.624084e-05
7.853981307179586 6.47163e-05
7.916813307179586 6.332088e-05
7.979645307179586 6.159184e-05
8.042477307179587 6.006655e-05
8.105309307179587 5.841133e-05
8.168141307179587 5.653301e-05
8.230972307179586 5.495227e-05
8.293804307179586 5.32414e-05
8.356636307179587 5.171648e-05
8.419468307179587 4.998702e-05
8.482300307179585 4.822056e-05
8.545132307179585 4.645422e-05
8.607964307179586 4.505948e-05
8.670795307179587 4.344193e-05
8.733627307179585 4.175007e-05
8.796459307179585 4.04671e-05
8.859291307179586 3.916576e-05
8.922123307179586 3.756687e-05
8.984955307179586 3.661858e-05
9.047787307179586 3.500127e-05
9.110618307179585 3.41647e-05
9.173450307179586 3.290048e-05
9.236282307179586 3.219398e-05
9.299114307179586 3.098574e-05
9.361946307179586 3.037209e-05
9.424778307179587 2.957278e-05
